127.0.0.1 - - [05/Dec/2017:22:01:10 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:14 +0900] "GET /course/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:16 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:16 +0900] "GET /course/login HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:34 +0900] "GET /course/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:36 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:01:37 +0900] "GET /course/login HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:02:17 +0900] "GET /course/login HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:02:47 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:02:50 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:02:57 +0900] "GET /course/login HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:11 +0900] "GET /course/login HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:12 +0900] "GET /course/login HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:32 +0900] "GET /course/login HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:36 +0900] "GET /course/login HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:46 +0900] "GET /course/login HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:03:56 +0900] "GET /course/login HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:20 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:24 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:24 +0900] "GET /course/login?error HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:36 +0900] "GET /course/login?error HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:38 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:38 +0900] "GET /course/login?error HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:43 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:04:43 +0900] "GET /course/login?error HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:19 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:19 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:21 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:22 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:23 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:24 +0900] "POST /course/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:24 +0900] "GET /course/login?logout HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:29 +0900] "GET /course HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:05:29 +0900] "GET /course/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:08 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:08 +0900] "GET /course/login HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:08 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:16 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:16 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:16 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:32 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:32 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:33 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:33 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:39 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:39 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:50 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:50 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:52 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:10:52 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:05 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:05 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:15 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:15 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:27 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:28 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:44 +0900] "GET /course/login HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:44 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:46 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:48 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:48 +0900] "GET /course/resources/css/main.css HTTP/1.1" 200 521
